TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1
6187,-8.75,37.98,-4.16,3.83,28.14,1.03,2.366,35
6200,-8.76,38.17,-4.18,3.84,28.31,1.04,2.366,36
6215,-8.8,38.36,-4.21,3.84,28.49,1.04,2.366,36
6229,-8.83,38.53,-4.24,3.86,28.67,1.03,2.366,36
6244,-8.89,38.7,-4.28,3.88,28.84,1.03,2.361,36
6258,-8.95,38.87,-4.33,3.88,28.84,1.03,2.366,37
6272,-9,39.06,-4.38,3.91,29.01,1.03,2.366,38
6286,-9.05,39.23,-4.42,3.93,29.18,1.03,2.361,38
6301,-9.1,39.41,-4.46,3.93,29.35,1.03,2.366,37
6315,-9.15,39.59,-4.5,3.94,29.52,1.03,2.361,36
6330,-9.2,39.78,-4.54,3.94,29.52,1.03,2.366,36
6344,-9.24,39.95,-4.58,3.96,29.69,1.04,2.366,37
6359,-9.29,40.11,-4.62,3.97,29.87,1.04,2.366,36
6373,-9.35,40.29,-4.68,3.99,30.03,1.04,2.366,36
6388,-9.42,40.47,-4.73,4.02,30.2,1.06,2.366,37
6402,-9.48,40.63,-4.78,4.02,30.2,1.06,2.366,36
6416,-9.55,40.8,-4.83,4.05,30.37,1.06,2.366,36
6431,-9.6,40.96,-4.88,4.09,30.53,1.07,2.366,36
6446,-9.67,41.12,-4.93,4.13,30.69,1.07,2.366,36
6460,-9.73,41.3,-4.98,4.18,30.85,1.08,2.366,35
6475,-9.8,41.47,-5.05,4.23,31.01,1.08,2.366,37
6489,-9.87,41.64,-5.1,4.23,31.01,1.08,2.366,37
6503,-9.93,41.8,-5.15,4.28,31.16,1.09,2.361,37
6518,-9.98,41.97,-5.2,4.32,31.32,1.11,2.366,37
6532,-10.03,42.13,-5.23,4.35,31.47,1.12,2.361,36
6547,-10.1,42.31,-5.28,4.39,31.63,1.13,2.366,36
6561,-10.16,42.47,-5.33,4.39,31.63,1.13,2.356,36
6575,-10.22,42.64,-5.37,4.44,31.79,1.14,2.361,36
6590,-10.3,42.8,-5.42,4.49,31.94,1.16,2.366,37
6604,-10.36,42.96,-5.47,4.52,32.09,1.17,2.366,37
6619,-10.42,43.13,-5.51,4.54,32.25,1.19,2.361,36
6634,-10.48,43.28,-5.56,4.54,32.25,1.19,2.361,36
6648,-10.53,43.44,-5.61,4.57,32.4,1.2,2.361,36
6662,-10.58,43.6,-5.66,4.59,32.56,1.2,2.366,36
6677,-10.66,43.76,-5.71,4.62,32.72,1.21,2.366,37
6691,-10.73,43.92,-5.77,4.64,32.89,1.22,2.366,40
6706,-10.81,44.08,-5.84,4.65,33.05,1.23,2.361,39
6720,-10.89,44.23,-5.89,4.65,33.05,1.23,2.366,39
6734,-10.98,44.39,-5.95,4.66,33.22,1.23,2.366,40
6749,-11.05,44.56,-6.01,4.68,33.38,1.23,2.366,40
6764,-11.1,44.72,-6.05,4.71,33.54,1.23,2.366,41
6778,-11.14,44.87,-6.1,4.72,33.71,1.24,2.366,39
6793,-11.17,45.04,-6.14,4.72,33.71,1.24,2.366,39
6807,-11.2,45.2,-6.18,4.74,33.87,1.25,2.366,38
6821,-11.23,45.36,-6.23,4.75,34.03,1.25,2.361,37
6836,-11.24,45.52,-6.27,4.76,34.19,1.25,2.366,37
6850,-11.27,45.69,-6.32,4.78,34.35,1.26,2.366,37
6865,-11.29,45.86,-6.35,4.78,34.35,1.26,2.366,36
6879,-11.33,46.02,-6.39,4.8,34.51,1.26,2.366,37
6893,-11.37,46.18,-6.44,4.82,34.67,1.27,2.366,37
6908,-11.41,46.34,-6.48,4.83,34.83,1.26,2.366,37
6922,-11.45,46.51,-6.54,4.84,34.99,1.25,2.366,37
6937,-11.5,46.68,-6.59,4.86,35.14,1.25,2.361,38
6952,-11.55,46.82,-6.63,4.86,35.14,1.25,2.361,40
6966,-11.62,46.97,-6.69,4.86,35.31,1.24,2.361,39
6980,-11.69,47.12,-6.75,4.87,35.47,1.23,2.361,38
6995,-11.76,47.28,-6.8,4.86,35.62,1.22,2.361,38
7009,-11.84,47.43,-6.86,4.87,35.78,1.21,2.361,40
7024,-11.93,47.58,-6.92,4.87,35.78,1.21,2.366,38
7038,-11.99,47.73,-6.97,4.88,35.93,1.2,2.361,37
7052,-12.06,47.88,-7.02,4.89,36.09,1.18,2.366,36
7067,-12.13,48.03,-7.09,4.91,36.24,1.16,2.366,36
7081,-12.21,48.19,-7.16,4.92,36.39,1.16,2.361,37
7096,-12.3,48.33,-7.21,4.92,36.39,1.16,2.366,38
7110,-12.4,48.49,-7.28,4.94,36.54,1.16,2.361,38
7124,-12.49,48.64,-7.36,4.97,36.68,1.15,2.361,36
7139,-12.57,48.8,-7.44,5.01,36.83,1.14,2.361,36
7154,-12.65,48.94,-7.52,5.04,36.97,1.14,2.366,36
7168,-12.74,49.09,-7.61,5.06,37.11,1.13,2.366,37
7183,-12.85,49.24,-7.71,5.06,37.11,1.13,2.366,37
7197,-12.94,49.38,-7.81,5.06,37.26,1.13,2.361,37
7211,-13.06,49.52,-7.89,5.07,37.4,1.13,2.361,36
7226,-13.18,49.67,-7.99,5.08,37.55,1.12,2.361,38
7240,-13.27,49.82,-8.08,5.09,37.69,1.12,2.361,37
7255,-13.27,49.82,-8.08,5.09,37.69,1.12,2.361,37
7268,-13.38,49.96,-8.17,5.09,37.84,1.11,2.361,36
7283,-13.48,50.11,-8.26,5.09,37.99,1.11,2.361,36
7298,-13.58,50.24,-8.35,5.1,38.13,1.11,2.361,36
7312,-13.67,50.38,-8.43,5.12,38.27,1.11,2.361,36
7327,-13.75,50.53,-8.51,5.12,38.27,1.11,2.361,37
7341,-13.82,50.67,-8.59,5.15,38.4,1.12,2.361,37
7355,-13.87,50.82,-8.65,5.17,38.54,1.11,2.356,37
7370,-13.92,50.97,-8.73,5.21,38.69,1.12,2.356,37
7384,-13.98,51.12,-8.81,5.24,38.82,1.13,2.361,37
7399,-14.04,51.27,-8.89,5.28,38.95,1.13,2.356,38
7414,-14.13,51.41,-8.97,5.28,38.95,1.13,2.356,42
7427,-14.22,51.55,-9.06,5.33,39.09,1.14,2.356,40
7442,-14.31,51.68,-9.14,5.39,39.23,1.15,2.356,39
7457,-14.41,51.82,-9.23,5.44,39.36,1.16,2.356,38
7471,-14.53,51.96,-9.33,5.51,39.49,1.16,2.361,37
7486,-14.63,52.07,-9.41,5.51,39.49,1.16,2.356,38
7500,-14.73,52.18,-9.48,5.58,39.61,1.17,2.356,37
7514,-14.85,52.3,-9.58,5.65,39.74,1.19,2.351,36
7529,-14.94,52.44,-9.68,5.71,39.86,1.2,2.351,38
7543,-15.02,52.58,-9.78,5.77,39.99,1.21,2.356,37
7558,-15.11,52.71,-9.87,5.77,39.99,1.21,2.351,37
7572,-15.19,52.86,-9.95,5.82,40.12,1.23,2.351,36
7586,-15.24,53.01,-10.02,5.86,40.25,1.25,2.351,36
7601,-15.29,53.14,-10.08,5.91,40.38,1.26,2.351,36
7616,-15.33,53.29,-10.14,5.94,40.52,1.28,2.351,35
7630,-15.36,53.44,-10.2,5.97,40.65,1.28,2.351,35
7645,-15.37,53.58,-10.25,5.97,40.65,1.28,2.351,36
7659,-15.38,53.74,-10.3,6,40.77,1.29,2.351,35
7673,-15.36,53.88,-10.35,6.05,40.9,1.3,2.351,35
7688,-15.35,54.02,-10.39,6.1,41.03,1.32,2.351,34
