TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,EMG2
20197,79.86,82.79,74.29,31.57,71.48,17.5,2.082,184,230
20307,80.16,82.79,74.58,31.6,71.52,17.5,2.087,165,180
20416,80.58,82.77,74.94,31.71,71.56,17.53,2.092,271,268
20526,81.21,82.74,75.48,31.85,71.62,17.58,2.092,248,250
20636,81.83,82.74,75.94,31.89,71.66,17.46,2.092,374,383
20746,82.08,82.73,76.13,31.79,71.75,17.31,2.092,421,464
20856,82.22,82.76,76.26,31.65,71.81,17.17,2.092,378,443
20965,82.36,82.8,76.42,31.5,71.88,17.04,2.092,317,312
21075,82.64,82.83,76.75,31.32,71.96,16.92,2.097,337,360
21185,82.72,82.89,76.91,31.15,72.04,16.82,2.097,323,359
21295,82.91,82.93,77.16,30.99,72.11,16.72,2.087,161,184
21404,83.35,82.89,77.53,31.01,72.23,16.7,2.102,71,69
21514,83.81,82.91,77.95,30.95,72.31,16.61,2.131,134,178
21624,84.23,82.95,78.39,30.84,72.39,16.51,2.146,264,221
21734,84.49,82.97,78.64,30.78,72.45,16.42,2.248,293,299
21843,84.9,82.99,78.97,30.79,72.49,16.35,2.38,140,123
21953,85.4,83,79.45,0.66,18.79,-95.85,2.4,115,111
22063,85.84,82.99,79.83,30.88,72.56,16.31,2.424,216,193
22173,86.51,82.98,80.49,30.89,72.71,16.33,2.385,138,117
22282,90.39,82.94,84.29,31.4,73.01,16.83,2.351,405,467
22392,100.57,83.5,93.71,32.58,73.6,17.24,2.351,410,440
22502,110.35,83.5,101.91,35.02,74.35,18.2,2.361,213,168
22612,115.86,83.45,106.51,35.66,75.42,18.27,2.41,219,195
22721,119.53,84.09,111.53,33.86,75.65,17.99,2.414,342,368
22831,114.22,84.46,109.39,30.76,75.41,18.64,2.331,111,117
22941,97.69,85.36,98.96,21.04,75.02,17.58,2.283,337,337
23051,95.16,86.93,102.13,14.75,75.81,17.48,2.336,326,287
23160,120.1,87.1,125.22,13.43,77.34,15.42,2.37,306,304
23270,160.78,86.41,164.45,11.39,79.35,14.07,2.326,149,101
23380,-176.63,84.39,-171.3,11.96,80.92,16.1,2.312,389,393
23490,-168.83,82.43,-163.32,14.98,82.26,19.13,2.356,424,441
23599,-168.43,81.09,-163.03,18.63,83.5,22.82,2.366,272,199
23709,-171.41,80.17,-164.84,25.3,84.61,30.4,2.366,192,167
23819,-174.03,79.64,-166.27,34.71,85.26,41.13,2.366,193,185
23929,-172.04,79.14,-163.59,39.14,84.99,45.88,2.356,100,72
24039,-167.08,78.98,-158.94,37.58,84.33,43.86,2.336,344,319
24148,-166.09,79.46,-157.84,33.08,84.13,39.43,2.331,179,186
24258,-165.9,79.89,-156.54,25.23,84.46,32.71,2.322,324,307
24368,-159.35,80.05,-150.65,14.69,83.82,21.41,2.317,123,110
24477,-154.18,80.32,-146.58,10.61,82.79,15.87,2.312,307,353
24587,-152.61,81.47,-146.13,6.3,82.01,10.88,2.297,347,329
