Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS
-123.08,68.19,-66.48,27.4,70.71,59.76,2.121
-123.13,68.19,-66.5,27.43,70.72,59.8,2.126
nan,nan,nan,27.45,70.69,59.7,2.131
-123.14,68.34,-66.75,27.64,70.63,59.66,2.131
-123.11,68.41,-66.69,27.65,70.6,59.65,2.136
-123,68.49,-66.41,27.61,70.6,59.66,2.136
-122.94,68.49,-66.3,27.52,70.62,59.56,2.136
-122.9,68.49,-66.29,27.51,70.59,59.47,2.146
-122.93,68.46,-66.26,27.45,70.6,59.41,2.141
-122.97,68.42,-66.19,27.37,70.63,59.33,2.146
-122.97,68.38,-66.15,27.3,70.64,59.26,2.146
-123.05,68.35,-66.23,27.32,70.69,59.23,2.146
-123.11,68.34,-66.36,27.43,70.71,59.27,2.131
-123.2,68.33,-66.47,27.57,70.7,59.35,2.155
-123.27,68.45,-66.48,27.49,70.64,59.21,2.395
-123.24,68.56,-66.62,27.39,70.65,58.89,2.336
-123.28,68.63,-66.76,27.49,70.61,58.87,2.253
-123.25,68.77,-66.79,27.58,70.54,58.88,2.297
-123.11,68.85,-66.72,27.62,70.44,58.84,2.16
-122.88,69.05,-66.36,27.62,70.33,58.9,2.019
-121.97,69.48,-65.1,27.82,70.21,59.26,1.965
nan,nan,nan,27.69,69.69,58.85,1.945
-122.59,72.02,-64.9,25.83,69.17,57.6,1.945
-126.58,75.28,-66.53,21.12,69.37,53.73,1.955
-130.81,82.41,-69.47,10.49,71.25,43.64,1.965
57.5,78.43,121.09,4.42,74.63,36.48,1.999
56.37,69.23,123.01,14.74,74.84,47.02,2.009
55.84,60.55,124.55,27.14,74.44,59.49,2.014
53.64,51.57,124.49,38.62,74.18,71.94,2.023
52.85,44.49,124.13,46.26,74.67,80.59,2.023
53.23,38.91,124.04,52.68,74.58,87.79,2.023
53.18,35.48,124.02,56.82,73.32,92.13,2.038
53.21,34.28,124.15,58.22,72.12,93.14,2.038
53.59,34.35,124.01,59.63,72.19,93.94,2.043
53.7,34.49,123.81,60.03,72.34,93.94,2.048
53.89,34.56,123.69,60.44,72.11,93.84,2.048
53.82,34.41,123.58,60.35,71.93,93.7,2.058
53.64,34.5,123.52,59.54,71.7,92.92,2.067
53.65,34.67,123.46,59.47,72.01,92.86,2.072
53.55,34.73,123.41,59.06,72.31,92.64,2.072
53.65,34.73,123.4,59.09,72.01,92.44,2.082
53.72,34.72,123.56,nan,nan,nan,2.082
53.69,34.68,123.62,59.14,71.97,92.66,2.087
53.74,34.83,123.63,59.08,71.83,92.45,2.087
53.91,35.21,123.63,59.16,72.05,92.4,2.092
53.9,35.36,123.57,59.01,72.41,92.29,2.092
53.84,35.4,123.53,58.76,72.14,91.93,2.097
54.14,35.44,123.54,59.39,72.02,92.32,2.097
54.07,35.62,123.4,-14.83,-0.99,80.81,2.102
54.13,35.82,123.27,58.85,72.12,91.43,2.107
54.17,35.98,123.18,58.75,72.32,91.27,2.111
54.24,36.08,123.22,58.82,72.41,91.37,2.111
54.34,36.21,123.4,58.71,72.25,91.28,2.111
54.44,36.31,123.29,58.84,72.38,91.25,2.116
54.22,36.48,123.2,58.09,72.57,90.55,2.121
54.35,36.91,123.1,58.02,72.81,90.29,2.121
54.5,37.07,123.07,58.32,73.05,90.49,2.126
54.32,36.92,123.05,57.91,73.03,90.26,2.141
54.3,37.11,123.05,57.56,72.83,89.8,2.17
54.16,37.61,123.16,56.81,73.34,89.27,2.204
54.09,37.95,123.4,55.99,73.55,88.75,2.258
54.21,37.85,123.92,56.12,73.32,89.28,2.326
54.47,37.62,124.24,57.13,73.01,90.33,2.395
54.48,37.87,124.31,56.83,72.99,90.04,2.444
54.45,38.35,124.22,56.32,73.44,89.56,2.483
54.47,38.7,123.99,56.06,73.85,89.14,2.458
54.7,39.6,123.67,55.08,73.61,87.56,2.444
54.37,42.58,123.19,50.96,74.3,83.09,2.356
53.62,47.85,122.24,40.74,77,72.58,2.087
50.32,62.85,118.67,-4.66,79.14,27.91,1.955
48.79,69.1,116.26,-14.73,77.76,18.24,1.857
46.36,75.63,111.79,-18.09,76.34,15.05,1.701
43.28,81.4,106.78,-15.47,74.52,17.91,1.706
24.93,86.39,87.52,-9.72,72.98,23.08,1.735
-72.72,88.29,-11.33,-8.66,71.93,22.99,1.75
-117.35,85.29,-57.12,-14.16,70.68,14.51,1.76
nan,nan,nan,-17.53,70.42,6.42,1.769
-122.56,77.64,-69.17,-10.75,71.46,11.21,1.779
-123.07,74.59,-73.3,0.96,72.7,21.85,1.789
-123.1,72.22,-75.27,6.66,73.28,27.29,1.794
-124.54,64.23,-76.04,13.09,73.73,34.22,1.799
-124.55,63.48,-75.84,13.67,73.83,34.52,1.799
-124.66,63.03,-75.89,13.54,74.08,34.11,1.799
-124.73,62.87,-76.01,13.6,74.17,34,1.818
-124.72,62.84,-76.08,13.56,74.13,33.64,1.808
-124.7,62.85,-76.33,13.69,74.09,33.45,1.808
-124.67,62.85,-76.23,13.77,74.07,33.47,1.813
-124.65,62.86,-76.35,13.89,74.01,33.39,1.813
-124.63,62.9,-76.43,14.12,73.94,33.45,1.818
-124.61,62.96,-76.57,14.45,73.88,33.63,1.813
-124.59,63.02,-76.7,14.66,73.81,33.7,1.823
-124.59,63.07,-76.82,14.87,73.74,33.81,1.818
-124.53,63.08,-76.86,14.92,73.65,33.74,1.818
-124.47,63.11,-76.83,14.89,73.61,33.66,1.818
-124.45,63.13,-76.8,14.93,73.57,33.66,1.813
-124.5,63.13,-76.85,15.03,73.56,33.69,1.813
-124.53,63.16,-76.87,15.09,73.56,33.73,1.818
-124.55,63.2,-76.93,15.23,73.52,33.78,1.823
-124.57,63.22,-76.97,15.34,73.49,33.82,1.823
-124.63,63.25,-77.02,15.51,73.46,33.94,1.852
-124.68,63.3,-77.08,15.68,73.44,34.05,1.857
-124.7,63.35,-77.15,16.01,73.43,34.31,1.857
-124.8,63.42,-77.32,16.46,73.38,34.64,1.838
-124.86,63.55,-77.24,16.97,73.33,35.27,1.843
-124.72,63.79,-77.18,17.49,73.24,35.96,2.014
-124.54,64.09,-76.95,17.99,72.97,36.69,2.478
-124.29,64.42,-76.84,18.09,72.62,36.67,2.39
-124.01,64.84,-76.94,18.29,72.17,36.42,2.268
-123.45,65.35,-76.29,18.74,71.73,36.54,2.292
-123.67,65.88,-76.54,19.71,71.43,37.16,2.141
-123.44,66.26,-76.26,20.33,71.22,37.72,2.023
-122.93,66.38,-75.82,20.46,70.89,37.87,1.979
-122.26,66.63,-74.99,20.6,70.41,38.11,1.97
-121.69,67.3,-74.43,20.49,69.78,37.9,1.984
-122.19,69.16,-72.93,19.05,69.36,37.63,1.984
-122.89,80.78,-69.08,11.94,70.43,32.66,1.999
49.92,89.15,103.55,-3.25,72.71,18.94,2.004
58.09,77.74,113.78,2.3,74.52,22.69,2.009
55.17,66.87,114.18,16.96,75.41,37.06,2.033
53.91,57.52,115.23,29.19,74.63,50.78,2.053
51.53,48.91,115.87,38.99,73.31,62.13,2.058
52.54,43.21,116.36,46.55,73.37,70.26,2.063
53.23,38.96,116.23,54.76,72.93,78.42,2.072
53.44,36.68,116.38,56.96,71.46,80.36,2.077
53.5,35.77,116.74,58.26,70.49,81.66,2.077
54.45,35.74,117.06,60.68,70.68,83.7,2.082
54.33,36.01,117.2,60.39,70.91,83.6,2.087
54.37,35.81,117.4,60.68,70.88,84.18,2.092
55.24,35.43,117.5,62.98,70.2,85.77,2.097
55.38,35.17,117.6,63.15,69.35,85.69,2.097
55.5,34.92,117.5,63.72,69.2,86.06,2.102
55.64,34.92,117.6,63.94,68.99,86.16,2.102
55.77,35.04,117.66,64.11,69.03,86.35,2.111
55.83,35.23,117.62,64.09,69.24,86.24,2.116
55.72,35.34,117.56,63.65,69.29,85.85,2.111
55.81,35.28,117.42,63.83,69.29,85.86,2.116
55.86,35.22,117.27,64.01,69.24,85.85,2.121
55.81,35.28,117.36,63.65,68.99,85.58,2.126
55.85,35.31,117.37,63.68,69,85.54,2.131
55.94,35.24,117.37,63.91,68.91,85.74,2.146
55.94,35.11,117.41,63.86,68.74,85.78,2.17
55.93,34.98,117.41,63.87,68.65,85.82,2.19
56.02,34.96,117.46,63.98,68.55,85.91,2.214
56.02,35,117.41,63.77,68.43,85.67,2.253
56.03,35.1,117.22,63.68,68.47,85.35,2.312
56.03,35.2,117.2,63.52,68.57,85.23,2.39
56.05,35.19,117.33,63.49,68.47,85.31,2.434
56.22,35.31,117.48,63.7,68.37,85.46,2.483
56.35,35.83,117.48,63.42,68.69,85.09,2.512
56.48,37.41,117.42,62.34,69.64,83.88,2.41
55.99,41.51,117.03,57.82,72.08,79.23,2.175
55.81,46.57,116.58,51.47,74.99,72.77,1.975
55.35,52.3,115.76,40.97,77.55,61.89,2.023
54.52,57.45,114.74,27.48,78.98,48.38,2.077
nan,nan,nan,11.58,79.13,32.85,2.131
51.62,70.31,110.94,-3.69,77.73,18.81,2.165
49.25,77.03,107.22,-14.86,75.99,9.08,2.175
36.3,82.98,95.09,-23.58,73.37,3.18,2.16
-21.42,87.38,37.88,-25.95,71.16,2.37,2.151
-102.89,84.97,-45.53,-19.12,70.28,9.02,2.146
-114.35,80.75,-60.73,-10.06,70.24,14.34,2.151
-117.7,76.66,-70.94,3.23,70.05,22.55,2.151
-117.38,73.78,-72.7,11.36,69.91,29.95,2.141
-116.97,71.5,-71.85,15.49,70.21,34.44,2.141
-117.22,69.8,-72.47,18.82,70.38,37.18,2.151
-118.08,70,-73.78,20.24,70.45,38.23,2.16
-118.73,70.19,-73.95,20.9,70.26,39.1,2.17
-118.59,70.21,-72.48,21.53,69.87,40.58,2.18
-118.67,70.17,-70.56,21.96,69.57,42.23,2.18
-119.01,69.99,-68.83,22.04,69.59,43.43,2.19
-119.47,69.7,-67.78,22,69.81,44.32,2.204
-120.02,69.47,-67.66,21.99,70.06,44.71,2.209
-120.66,69.28,-67.81,22.3,70.25,45.31,2.214
-121.29,69.16,-68.43,22.7,70.4,45.58,2.214
-121.83,68.95,-69.34,22.81,70.6,45.43,2.253
-122.17,68.65,-70.16,22.68,70.89,44.96,2.283
-122.52,68.31,-71.37,22.61,71.22,44.31,2.292
-122.97,67.98,-72.74,22.77,71.6,43.71,2.307
-123.5,67.7,-74.15,23,71.87,43.35,2.336
-123.89,67.49,-75.4,23.21,72.1,43.05,2.326
-124.09,67.47,-76.22,23.52,72.3,42.94,2.312
-124.08,67.6,-76.98,23.96,72.33,42.89,2.322
-124.04,67.78,-77.2,24.31,72.22,43.01,2.322
-123.67,68.07,-76.63,24.42,72.02,43.3,2.317
-123.06,69.44,-75.93,24.39,71.66,43.39,2.312
-121.31,70.73,-75.4,24.87,71.14,43.02,2.302
-119.43,71.22,-72.71,26.07,70.82,43.97,2.307
