Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,Activity
-179,70.34,31.52,-79.67,74.88,-13.58,2.63,549,upstairs
-177.71,70.42,32.46,-79.26,74.47,-13.3,2.63,507,upstairs
-176.19,70.53,33.78,-78.76,74.12,-12.9,2.634,429,upstairs
-174.47,70.58,35.43,-78.22,73.81,-12.51,2.639,344,upstairs
-172.71,70.61,37.21,-77.7,73.44,-12.31,2.639,351,upstairs
-170.96,70.61,38.98,-77.05,72.95,-12.15,2.625,277,upstairs
-169.29,70.63,40.62,-76.67,72.3,-12.37,2.59,209,upstairs
-167.91,70.53,42,-76.35,71.76,-12.46,2.571,161,upstairs
-166.98,70.41,42.91,-75.85,71.17,-12.35,2.561,125,upstairs
-166.68,70.57,43.23,-75.85,71.17,-12.35,2.546,102,upstairs
-167.41,70.79,42.66,-75.64,70.41,-12.39,2.532,85,upstairs
-169.26,70.98,40.97,-76.17,69.46,-12.89,2.527,70,upstairs
-169.26,70.98,40.97,-77.8,68.22,-14.21,2.527,70,upstairs
-171.96,71.04,38.48,-80.62,66.6,-16.53,2.537,60,upstairs
-175.12,71.34,35.32,-80.62,66.6,-16.53,2.546,53,upstairs
-178.19,72.15,32.01,-84.45,64.64,-19.79,2.522,48,upstairs
179.1,73.32,29.07,-88.4,62.51,-23.29,2.439,44,upstairs
179.1,73.32,29.07,-92.19,60.23,-26.65,2.273,41,upstairs
175.97,74.53,26.25,-95.84,57.92,-29.85,2.131,40,upstairs
171.23,75.84,22.17,-95.84,57.92,-29.85,1.989,40,upstairs
162.56,77,14.86,-98.9,56.02,-32.39,1.96,39,upstairs
151.56,77.54,5.91,-101.24,54.66,-33.92,1.833,38,upstairs
151.56,77.54,5.91,-103.38,53.36,-35.12,1.779,48,upstairs
141.47,77.26,-2.03,-104.93,52.31,-35.76,1.745,50,upstairs
132.32,76.43,-8.93,-104.93,52.31,-35.76,1.706,56,upstairs
123.32,75.22,-15.6,-106.32,51.56,-35.9,1.662,56,upstairs
115.39,73.62,-21.57,-107.8,51.05,-35.95,1.642,56,upstairs
115.39,73.62,-21.57,-109.24,50.75,-36.07,1.628,59,upstairs
109.28,71.56,-26.05,-110.57,50.79,-36.26,1.613,57,upstairs
104.16,69.37,-29.52,-110.57,50.79,-36.26,1.598,56,upstairs
99.53,67.03,-32.41,-111.76,51.22,-36.27,1.574,57,upstairs
95.66,64.83,-34.68,-112.67,52.22,-36.1,1.564,52,upstairs
95.66,64.83,-34.68,-113.31,53.49,-35.93,1.554,54,upstairs
92.87,62.79,-36.15,-113.66,55.09,-36.05,1.549,50,upstairs
90.76,60.85,-37.38,-113.66,55.09,-36.05,1.549,50,upstairs
89.54,59.07,-38.22,-113.53,56.98,-36.11,1.564,49,upstairs
89.21,57.41,-38.67,-113.17,59.01,-36.27,1.588,46,upstairs
89.15,55.9,-38.95,-113.08,61.12,-36.62,1.598,43,upstairs
89.15,55.9,-38.95,-113.26,63.23,-37.12,1.613,42,upstairs
89.04,54.59,-39.15,-113.26,63.23,-37.12,1.623,40,upstairs
89.06,53.53,-39.14,-113.6,65.22,-37.77,1.637,39,upstairs
89.07,52.74,-39,-114.26,67.09,-38.65,1.642,37,upstairs
89.14,52.26,-38.83,-115.11,68.79,-39.78,1.652,36,upstairs
89.14,52.26,-38.83,-115.78,70.22,-40.78,1.667,37,upstairs
89.37,52.1,-38.54,-115.78,70.22,-40.78,1.681,36,upstairs
90.03,52.17,-37.95,-116.12,71.25,-41.46,1.696,37,upstairs
90.95,52.36,-37.15,-116.62,71.96,-42.11,1.711,36,upstairs
92.44,52.61,-35.95,-116.95,72.33,-42.33,1.73,36,upstairs
92.44,52.61,-35.95,-117.24,72.31,-42.33,1.745,37,upstairs
94.15,52.97,-34.61,-117.24,72.31,-42.33,1.764,36,upstairs
95.73,53.48,-33.19,-117.56,71.95,-42.15,1.779,36,upstairs
97.28,54.19,-31.71,-117.7,71.38,-41.76,1.789,44,upstairs
100.58,54.82,-28.57,-116.42,70.56,-39.8,1.804,49,upstairs
100.58,54.82,-28.57,-116.68,69.22,-39.43,1.833,136,upstairs
104.44,55.72,-25.61,-116.58,69.29,-39.08,1.872,169,upstairs
